Filepath,Line Count,Current Purpose,Topics Covered,Proposed Type,Proposed Domain,Proposed Keywords,Split Needed,Split Plan,Estimated New Files
"./docs/architecture/mcp-sdk-migration-plan.md",2942,"MCP SDK migration design and execution plan","EventBus removal, SDK adoption, phased migration, architecture decisions, test strategy, rollback procedures","Pattern","mcp, migration, architecture","mcp-sdk, migration, eventbus, phases, testing",YES,"Executive Summary (200), Architecture Decisions (300), Phase Breakdown (6x200), Test Strategy (300), Rollback Procedures (200)",8
"./docs/architecture/mcp-sdk-v0.7.2-migration-plan.md",2518,"SDK v0.7.2 specific migration plan","SDK features, migration timeline, test maintenance, session management changes, risk analysis","Pattern","mcp, migration","mcp-sdk, v0.7.2, migration, timeline, risks",YES,"Executive Summary (200), SDK Features (400), Timeline & Phases (500), Risk Analysis (300), Test Migration (400), Rollback (200)",6
"./docs/reference/mcp-troubleshooting.md",2440,"Comprehensive MCP troubleshooting reference","Connection issues, SSE problems, timeouts, error codes, diagnostic tools, recovery procedures","Reference","mcp, troubleshooting","mcp, troubleshooting, errors, diagnostics, recovery",YES,"Connection Issues (400), SSE Troubleshooting (400), Performance & Timeouts (400), Error Codes Reference (300), Diagnostic Tools (400), Recovery Procedures (300)",6
"./docs/api/mcp-tools-reference.md",1617,"Complete MCP tools and resources API reference","MCP tools, MCP resources, API endpoints, tool parameters, resource URIs","Reference","mcp, api","mcp, tools, resources, api, reference",YES,"Tools Reference (800), Resources Reference (800)",2
"./docs/reference/technical-design/mcp-integration-patterns.md",1541,"MCP integration architecture and patterns","SSE transport, JSON-RPC, Ktor integration, session management, testing patterns","Pattern","mcp, architecture","mcp, integration, sse, json-rpc, patterns",YES,"Protocol Overview (300), Transport Patterns (400), Session Management (300), Testing Strategies (300), Implementation Examples (200)",5
"./SPI-706-DOCUMENTATION-UPDATE-PROPOSAL.md",1487,"Documentation update proposal for SPI-706","Documentation audit, update recommendations, migration plans, cleanup tasks","Reference","project-management","spi-706, documentation, audit, proposal, updates",NO,"",1
"./docs/ci-cd/overview.md",1386,"CI/CD pipeline architecture and configuration","Pipeline jobs, caching strategy, parallel execution, fail-fast, artifact management","Concept","cicd, architecture","cicd, pipeline, caching, parallelism, artifacts",YES,"Pipeline Philosophy (200), Job Architecture (400), Caching Strategy (300), Parallel Execution (300), Artifact Management (200)",5
"./docs/reference/technical-design/dependency-injection-patterns.md",1338,"Dependency injection implementation patterns","Ktor DI, service configuration, testing with DI, lifecycle management, best practices","Pattern","architecture, di","dependency-injection, ktor, testing, patterns, lifecycle",YES,"DI Concepts (250), Ktor DI Implementation (400), Testing Patterns (350), Lifecycle Management (250), Best Practices (200)",5
"./docs/reference/technical-design/configuration-management.md",1318,"Application configuration management patterns","Configuration loading, environment-specific config, secrets management, validation patterns","Pattern","architecture, config","configuration, environment, secrets, validation, management",YES,"Configuration Concepts (250), Loading Patterns (350), Environment Management (300), Secrets Handling (250), Validation (200)",5
"./docs/reference/technical-design/testing-architecture-tdd.md",1315,"TDD methodology and testing architecture","RED-GREEN-REFACTOR cycle, test categorization, coverage requirements, test organization, anti-patterns","Concept","testing, tdd","tdd, testing, red-green-refactor, coverage, patterns",YES,"TDD Principles (250), Test Categorization (300), Coverage Requirements (250), Test Organization (300), Anti-patterns (200)",5
"./docs/testing/sdk-client-testing.md",1279,"MCP SDK client testing patterns and examples","SDK client testing, integration patterns, error scenarios, performance testing","Pattern","testing, mcp","sdk, client-testing, integration, performance, mcp",YES,"Client Testing Overview (250), Integration Patterns (400), Error Scenarios (300), Performance Testing (300)",4
"./docs/getting-started/mcp-testing.md",1220,"MCP testing setup and development guide","MCP test setup, local testing, client configuration, debugging techniques","Guide","testing, mcp, getting-started","mcp, testing, setup, debugging, development",YES,"Setup Guide (300), Local Testing (300), Client Configuration (300), Debugging (300)",4
"./docs/archive/test-plans/2024-10-14-spi-705-migration-plan.md",1220,"Historical migration plan for SPI-705","Test migration, SDK adoption, historical context","Reference","archive, testing","spi-705, migration, tests, historical",NO,"Archive - historical reference",1
"./docs/reference/technical-design/application-service-patterns.md",1182,"Application service layer design patterns","Service orchestration, command/query separation, transaction boundaries, error handling","Pattern","architecture, domain","services, orchestration, commands, transactions, patterns",YES,"Service Layer Concepts (250), Command Patterns (300), Transaction Management (300), Error Handling (250), Best Practices (200)",5
"./docs/architecture/decisions/SPI-700-SDK-ROOT-PATH-ARCHITECTURAL-ANALYSIS.md",951,"Architectural analysis for SPI-700 SDK root path","Root path handling, routing strategy, SDK integration, architectural decisions","Reference","architecture, decisions","spi-700, sdk, routing, architecture, analysis",NO,"",1
"./docs/development/mcp-development.md",936,"MCP development workflow and practices","MCP development, local server, debugging, testing, tools","Guide","development, mcp","mcp, development, debugging, workflow, tools",NO,"",1
"./docs/reference/technical-design/mcp-architecture-simplification.md",849,"MCP architecture simplification proposal","Architecture refactoring, complexity reduction, SDK adoption rationale","Concept","architecture, mcp","mcp, simplification, refactoring, sdk, architecture",NO,"",1
"./docs/architecture/mcp-sdk-tdd-execution-plan.md",733,"TDD execution plan for MCP SDK migration","TDD workflow, test phases, execution strategy, quality gates","Pattern","testing, mcp, tdd","mcp-sdk, tdd, execution, testing, workflow",NO,"",1
"./docs/reference/technical-design/repository-pattern.md",726,"Repository pattern implementation guide","Repository interfaces, Exposed ORM, database abstraction, testing strategies, CRUD operations","Pattern","architecture, persistence","repository, exposed, database, crud, patterns",NO,"",1
"./docs/testing/mcp-sdk-transport-pattern-compliance-analysis.md",718,"MCP SDK transport pattern compliance analysis","Transport patterns, SDK compliance, protocol analysis, implementation validation","Reference","testing, mcp","mcp-sdk, transport, compliance, protocol, analysis",NO,"",1
"./docs/archive/audits/phase-2-reference.md",703,"Phase 2 audit reference documentation","Historical audit, phase 2 review, reference material","Reference","archive, audits","phase-2, audit, historical, reference",NO,"Archive - historical reference",1
"./docs/reference/user-experience.md",697,"User experience design and workflows","User workflows, UX patterns, interaction design, onboarding flows","Concept","user-experience, design","ux, workflows, interactions, onboarding, design",NO,"",1
"./docs/reference/PRD.md",676,"Product requirements document","Product vision, requirements, features, success metrics, roadmap","Concept","product, requirements","prd, requirements, vision, features, roadmap",NO,"",1
"./docs/api/rest-api-reference.md",670,"REST API endpoint reference","REST endpoints, HTTP methods, request/response formats, error codes","Reference","api, rest","rest, api, endpoints, http, reference",NO,"",1
"./.claude/commands/linear-dev.md",656,"Linear development command documentation","Linear integration, development commands, issue management","Reference","tools, linear","linear, commands, issues, development, tools",NO,"",1
"./docs/api/best-practices.md",633,"API development best practices","API design, versioning, error handling, security, performance","Pattern","api, best-practices","api, design, best-practices, security, patterns",NO,"",1
"./docs/development/linear-branch-integration.md",622,"Linear issue to git branch integration","Linear integration, branch naming, issue tracking, workflow automation","Guide","development, linear","linear, git, branches, workflow, integration",NO,"",1
"./docs/architecture/decisions/ADR-001-adopt-mcp-kotlin-sdk-v0.7.2.md",620,"ADR for MCP Kotlin SDK adoption","Architecture decision, SDK adoption, rationale, consequences","Reference","architecture, decisions","adr, mcp-sdk, decision, adoption, rationale",NO,"",1
"./docs/architecture/overview.md",597,"Technical architecture overview","System architecture, DDD layers, component design, provider architecture, MCP integration","Concept","architecture","architecture, overview, ddd, components, design",NO,"",1
"./SPI-706-VALIDATION-REPORT.md",560,"SPI-706 validation report","Validation results, test coverage, completion criteria","Reference","project-management","spi-706, validation, testing, report",NO,"",1
